2026-01-18 00:59:06.727 [http-nio-8085-exec-2] INFO  c.m.b.c.OrchestratorController - Starting orchestrator via API
2026-01-18 00:59:06.739 [http-nio-8085-exec-2] INFO  c.m.b.c.OrchestratorController - Orchestrator started successfully | Workers: 3
2026-01-18 01:00:43.671 [http-nio-8085-exec-8] INFO  c.m.b.c.OrchestratorController - Attempting to queue arbitrage with custom stakes | externalId=16193965000235157219:876:17;22259:98.5::-2252780575850198500;22260:98.5::-2252780576305915414; | Stakes: {1Win=60465.12, MSport=39534.88}
2026-01-18 01:00:43.703 [http-nio-8085-exec-8] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 28 | Bookmaker: MSport | OldStake: null | NewStake: 39534.88
2026-01-18 01:00:43.705 [http-nio-8085-exec-8] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 28 | Bookmaker: 1Win | OldStake: null | NewStake: 60465.12
2026-01-18 01:00:43.728 [http-nio-8085-exec-8] INFO  c.m.b.c.OrchestratorController - Stakes updated successfully | ArbId: 28 | UpdatedStakes: {MSport=39534.88, 1Win=60465.12} | TotalStake: 100000.00
2026-01-18 01:00:43.730 [http-nio-8085-exec-8] INFO  c.m.b.c.OrchestratorController - Arbitrage queued successfully | ArbId: 28 | ExternalId: 16193965000235157219:876:17;22259:98.5::-2252780575850198500;22260:98.5::-2252780576305915414; | Profit: 2.7900% | TotalStake: 100000.00
2026-01-18 01:02:24.709 [http-nio-8085-exec-9] INFO  c.m.b.c.OrchestratorController - Attempting to queue arbitrage with custom stakes | externalId=16193963507436726938:350:17;22275:6.5::-2252780574981038139;22276:-6.5::-2252780573958668120; | Stakes: {1Win=52941.18, MSport=47058.82}
2026-01-18 01:02:24.711 [http-nio-8085-exec-9] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 33 | Bookmaker: MSport | OldStake: null | NewStake: 47058.82
2026-01-18 01:02:24.711 [http-nio-8085-exec-9] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 33 | Bookmaker: 1Win | OldStake: null | NewStake: 52941.18
2026-01-18 01:02:24.730 [http-nio-8085-exec-9] INFO  c.m.b.c.OrchestratorController - Stakes updated successfully | ArbId: 33 | UpdatedStakes: {MSport=47058.82, 1Win=52941.18} | TotalStake: 100000.00
2026-01-18 01:02:24.731 [http-nio-8085-exec-9] WARN  c.m.b.c.OrchestratorController - Failed to queue arbitrage (queue full) | ArbId: 33 | ExternalId: 16193963507436726938:350:17;22275:6.5::-2252780574981038139;22276:-6.5::-2252780573958668120;
2026-01-18 01:02:57.857 [http-nio-8085-exec-5] INFO  c.m.b.c.OrchestratorController - Attempting to queue arbitrage with custom stakes | externalId=16193963507436726938:350:17;22275:5.5::-2252780574981038139;22276:-5.5::-2252780573958668120; | Stakes: {1Win=54545.45, MSport=45454.55}
2026-01-18 01:02:57.858 [http-nio-8085-exec-5] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 38 | Bookmaker: MSport | OldStake: null | NewStake: 45454.55
2026-01-18 01:02:57.858 [http-nio-8085-exec-5] INFO  c.m.b.c.OrchestratorController - Updated stake | ArbId: 38 | Bookmaker: 1Win | OldStake: null | NewStake: 54545.45
2026-01-18 01:02:57.871 [http-nio-8085-exec-5] INFO  c.m.b.c.OrchestratorController - Stakes updated successfully | ArbId: 38 | UpdatedStakes: {MSport=45454.55, 1Win=54545.45} | TotalStake: 100000.00
