2026-02-14 15:42:31.170 [main] INFO  com.mouse.bet.window.Bet9ja - 🚀 🎯 Initializing Bet9ja with Playwright...
2026-02-14 15:42:46.589 [main] INFO  com.mouse.bet.window.Bet9ja - ✅ 🚀 Playwright initialized successfully
2026-02-14 15:42:46.594 [main] INFO  com.mouse.bet.window.Bet9ja - Registering Bet9ja Window for Bet placing
2026-02-14 15:44:55.343 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - 🚀 🎯 Starting Bet9ja attempt 1/3
2026-02-14 15:44:55.343 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ▶️ 🚀 Starting window entry process...
2026-02-14 15:44:55.583 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - Loading existing browser context from: .\playwright-context\bet9ja-context.json
2026-02-14 15:45:54.407 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - Existing context loaded successfully
2026-02-14 15:45:57.996 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ✅ 🚀 New page created successfully
2026-02-14 15:46:15.015 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ✅ 🧭 Navigation to bookmaker completed
2026-02-14 15:46:23.841 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ℹ️ 🔐 User not logged in, attempting login...
2026-02-14 15:47:43.536 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ✅ 🔐 Login successful
2026-02-14 15:48:56.658 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - ℹ️ 🔍 Determining configured sport from settings...
2026-02-14 15:49:00.469 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ✅ 🎯 Navigation to Football page completed
2026-02-14 15:49:00.469 [BettingWindow-3] INFO  com.mouse.bet.window.Bet9ja - ✅ 🚀 Window is now up and running - entering betting loop
2026-02-14 15:49:01.505 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:05.594 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:09.406 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:12.831 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:16.278 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:19.792 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:23.271 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:27.281 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:31.012 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:34.500 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:37.759 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:41.260 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:45.591 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:49.887 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:54.039 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
2026-02-14 15:49:57.366 [BettingWindow-3] DEBUG com.mouse.bet.window.Bet9ja - 📊 🔍 Polling for BetLegTask from queue...
