2026-02-03 13:32:58.858 [main] INFO  com.mouse.bet.window.SportyBet - 🚀 🎯 Initializing SportyBet with Playwright...
2026-02-03 13:33:02.880 [main] INFO  com.mouse.bet.window.SportyBet - ✅ 🚀 Playwright initialized successfully
2026-02-03 13:33:02.880 [main] INFO  com.mouse.bet.window.SportyBet - Registering SportyBet Window for Bet placing
2026-02-03 13:33:33.127 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - 🚀 🎯 Starting SportyBet attempt 1/3
2026-02-03 13:33:33.127 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ▶️ 🚀 Starting window entry process...
2026-02-03 13:33:33.741 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - Loading existing browser context from: .\playwright-context\sporty-context.json
2026-02-03 13:33:34.367 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - Existing context loaded successfully
2026-02-03 13:33:34.616 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ✅ 🚀 New page created successfully
2026-02-03 13:34:16.954 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ✅ 🧭 Navigation to bookmaker completed
2026-02-03 13:34:22.654 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ✅ 🔐 User already logged in
2026-02-03 13:34:56.199 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - ℹ️ 🔍 Determining configured sport from settings...
2026-02-03 13:35:35.263 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ✅ 🎯 Navigation to Table Tennis page completed
2026-02-03 13:35:35.263 [BettingWindow-2] INFO  com.mouse.bet.window.SportyBet - ✅ 🚀 Window is now up and running - entering betting loop
2026-02-03 13:35:36.890 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:40.536 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:44.123 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:48.396 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:52.228 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:55.491 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:35:59.469 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:02.509 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:06.764 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:09.995 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:13.469 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:17.562 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:21.395 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:24.479 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:27.556 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:31.644 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:34.830 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:38.627 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:42.355 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:46.283 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:50.778 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:54.317 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:36:58.064 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
